Database???Quarterly
Quarter£º2013-
Indicators,1Q 2021,4Q 2020,3Q 2020,2Q 2020,1Q 2020,4Q 2019,3Q 2019,2Q 2019,1Q 2019,4Q 2018,3Q 2018,2Q 2018,1Q 2018,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,4Q 2015,3Q 2015,2Q 2015,1Q 2015,4Q 2014,3Q 2014,2Q 2014,1Q 2014,4Q 2013,3Q 2013,2Q 2013,1Q 2013
Gross Domestic Product Current Quarter(100 million yuan),249310.1,296297.8,264976.3,248985.1,205727.0,276798.0,251046.3,241502.6,217168.3,258808.9,234474.3,223962.2,202035.7,235428.7,212789.3,201950.3,181867.7,211566.2,191010.6,181408.2,162410.0,192572.9,176597.7,168549.7,151137.9,180828.9,165484.7,156489.6,140759.8,167772.3,152222.7,143518.7,129449.6
Gross Domestic Product Accumulated(100 million yuan),249310.1,1015986.2,719688.4,454712.1,205727.0,986515.2,709717.2,458670.9,217168.3,919281.1,660472.2,425997.9,202035.7,832035.9,596607.3,383818.0,181867.7,746395.1,534828.9,343818.2,162410.0,688858.2,496285.3,319687.6,151137.9,643563.1,462734.2,297249.5,140759.8,592963.2,425190.9,272968.2,129449.6
Value-added of the Primary Industry Current Quarter(100 million yuan),11332.1,29630.2,22072.0,15866.8,10185.1,27464.4,19801.0,14439.9,8768.3,24938.7,18226.9,13003.8,8575.7,22992.9,18255.8,12644.9,8205.9,21728.2,17542.4,12555.9,8312.7,21376.1,17173.1,11852.2,7373.2,20522.1,16854.9,11109.4,7140.0,19864.3,15904.9,10389.7,6869.1
Value-added of the Primary Industry Accumulated(100 million yuan),11332.1,77754.1,48123.9,26051.9,10185.1,70473.6,43009.1,23208.2,8768.3,64745.2,39806.4,21579.5,8575.7,62099.5,39106.6,20850.8,8205.9,60139.2,38411.0,20868.7,8312.7,57774.6,36398.5,19225.5,7373.2,55626.3,35104.3,18249.4,7140.0,53028.1,33163.7,17258.8,6869.1
Value-added of the Secondary Industry Current Quarter(100 million yuan),92623.5,113939.9,100082.6,97699.4,72533.4,107730.1,96420.1,95923.7,80596.7,104023.9,93112.5,91100.6,76598.2,95368.0,84574.1,82323.0,69315.5,85504.1,75400.5,73416.5,61106.8,78356.3,71526.7,70950.0,60505.9,77725.9,70971.1,69458.3,59127.4,74211.4,66748.7,65130.3,55861.2
Value-added of the Secondary Industry Accumulated(100 million yuan),92623.5,384255.3,270315.4,170232.8,72533.4,380670.6,272940.5,176520.4,80596.7,364835.2,260811.3,167698.8,76598.2,331580.5,236212.5,151638.4,69315.5,295427.8,209923.7,134523.3,61106.8,281338.9,202982.7,131455.9,60505.9,277282.8,199556.9,128585.8,59127.4,261951.6,187740.2,120991.5,55861.2
Value-added of the Tertiary Industry Current Quarter(100 million yuan),145354.5,152727.6,142821.7,135418.9,123008.5,141603.5,134825.2,131139.0,127803.3,129846.2,123134.9,119857.8,116861.8,117067.8,109959.5,106982.4,104346.3,104334.0,98067.8,95435.8,92990.5,92840.6,87897.9,85747.4,83258.8,82580.9,77658.7,75921.9,74492.4,73696.6,69569.1,67998.6,66719.3
Value-added of the Tertiary Industry Accumulated(100 million yuan),145354.5,553976.8,401249.1,258427.4,123008.5,535371.0,393767.5,258942.3,127803.3,489700.8,359854.5,236719.7,116861.8,438355.9,321288.2,211328.7,104346.3,390828.1,286494.1,188426.3,92990.5,349744.7,256904.1,169006.2,83258.8,310654.0,228073.0,150414.3,74492.4,277983.5,204287.0,134717.9,66719.3
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Current Quarter(100 million yuan),11887.6,30824.3,22974.9,16596.9,10707.8,28583.8,20632.8,15111.7,9248.7,25929.0,18961.8,13662.2,9005.8,23915.8,18944.2,13204.2,8595.8,22577.8,18162.2,13045.5,8665.5,22130.4,17739.2,12296.2,7686.8,21172.1,17371.0,11500.6,7428.5,20447.1,16367.0,10748.2,7130.2
Value-added of Agriculture Forestry Animal Husbandry and Fishery industries Accumulated(100 million yuan),11887.6,81103.9,50279.6,27304.7,10707.8,73576.9,44993.2,24360.4,9248.7,67558.7,41629.8,22668.0,9005.8,64660.0,40744.2,21800.0,8595.8,62451.0,39873.2,21711.0,8665.5,59852.6,37722.2,19983.0,7686.8,57472.2,36300.1,18929.1,7428.5,54692.4,34245.4,17878.4,7130.2
